Address,City,State,Zipcode,latitude,longitude,Common Name,Tree,Detail,Image URL,Image_name
60 Rico Way,San Francisco,CA,94123,37.805245,-122.43941,Natchez crapemyrtle,Lagerstroemia indica x fauriei 'Natchez',,,lagerstroemia_indica_natchez.jpg
,,,,37.801231,-122.409517,primrose tree,Lagunaria pattersonii,"in Washington Square park, across from 1660 Stockton - 3 trees",,default_tree.png
658 Waller Street,San Francisco,CA,94117,37.770913,-122.43456,primrose tree,Lagunaria pattersonii,,,default_tree.png
555 Battery Street,San Francisco,CA,94111,37.796294,-122.40094,sweet bay,Laurus nobilis,,,laurus_nobilis.jpg
783 Guerrero Street,San Francisco,CA,94110,37.758739,-122.42325,glossy privet,Ligustrum lucidum,,,default_tree.png
553 Dolores Street,San Francisco,CA,94110,37.760619,-122.4256,oriental sweetgum,Liquidambar orientalis,Another one across street from 547 Dolores,,default_tree.png
2385 Bryant Street,San Francisco,CA,94110,37.756297,-122.40915,American sweetgum,Liquidambar styraciflua,,,liquidambar_styraciflua.jpg
513B Simonds Loop,San Francisco,CA,94129,37.7955404,-122.44936,tulip tree,Liriodendron tulipifera,"in side yard, to the right as you face 513B Simonds Loop",,default_tree.png
299 Battery Street ,San Francisco,CA,94111,37.7939297,-122.40017,tulip tree,Liriodendron tulipifera,"tree on the northwest corner of Battery and Sacramento, adjacent to the Old Federal Reserve Building, at the corner",,default_tree.png
696 2nd Avenue,San Francisco,CA,94118,37.7757187,-122.45938,Brisbane box,Lophostemon confertus,,,default_tree.png
,,,,37.770812,-122.425378,Catalina ironwood,Lyonothanmnus floribundus 'asplenifolius',,On Hermann Street at interesection with Market Street,default_tree.png
,,,,37.770295,-122.453953,Campbell's magnolia ,Magnolia campbellii,across street from 640 Stanyan,,default_tree.png
232 Alma Street,San Francisco,CA,94117,37.7630724,-122.45147,joy perfume tree,Magnolia champaca,,,default_tree.png
326 Kirkham Street,San Francisco,CA,94122,37.760611,-122.46446,michelia,Magnolia doltsopa,,,default_tree.png
,San Francisco,CA,94110,37.758189,-122.427595,southern magnolia,Magnolia grandiflora,"across street from 3883 20th, in Dolores Park",,default_tree.png
55 Hancock Street,San Francisco,CA,94114,37.760179,-122.42939,vulcan magnolia ,Magnolia x vulcan,,,default_tree.png
1977 Green Street,San Francisco,CA,94123,37.796348,-122.43154,mayten,Maytenus boaria,,,default_tree.png
1257 Guerrero Street,San Francisco,CA,94110,37.751105,-122.42252,mayten,Maytenus boaria,,,maytenus_boaria.jpg
171 Lexington Street,San Francisco,CA,94114,37.760652,-122.4205,bracelet honey myrtle,Melaleuca armillaris,,,melaleuca_armillaris.jpg
118 Jersey Street,San Francisco,CA,94114,37.751107,-122.42791,flaxleaf paperbark,Melaleuca linarifolia,,,default_tree.png
,,,,37.73882,-122.395599,cajeput,Melaleuca quinquenervia,across street from 1991 Oakdale Avenue,https://imgur.com/a/W9tlIa6,melaleuca_quinquenervia.jpg
407 Missouri,San Francisco,CA,94107,37.761189,-122.39652,prickly melaleuca,Melaleuca styphelioides,"Across Missouri from 407 Missouri, at SW corner of 19th and Missouri",,default_tree.png
173 Albion Street,San Francisco,CA,94110,37.763708,-122.42243,prickly melaleuca,Melaleuca styphelioides,,,default_tree.png
3505 19th Street,San Francisco,CA,94110,37.7598905,-122.42169,chinaberry,Melia azedarach,3 trees closest to the corner,,melia_azedarach.jpg
2146 9th Avenue,San Francisco,CA,94116,37.7487872,-122.46448,dawn redwood,Metasequoia glyptostroboides,,,default_tree.png
,,,,37.771887,-122.46276,New Zealand Christmas tree,Metrosideros excelsa,largest New Zealand Christmas tree in the US!,,default_tree.png
1221 Stanyan Street,San Francisco,CA,94117,37.761546,-122.4523,New Zealand Christmas tree,Metrosideros excelsa,yellow 'Aurea' variety,,metrosideros_excelsa.jpg
893 Clayton Street,San Francisco,CA,94117,37.765297,-122.44796,northern rata,Metrosideros robusta,,,metrosideros_robusta.jpg
1772 Vallejo Street,San Francisco,CA,94123,37.7965667,-122.42645,northern rata,Metrosideros robusta,,,default_tree.png
518 Ellsworth Street,San Francisco,CA,94110,37.7368297,-122.41491,banana shrub,Michelia x foggii,,,default_tree.png
,San Francisco,,,37.76402,-122.400407,olive ,Olea europaea,"kitty corner from 1705 Mariposa Street, two multi-trunked trees in  the park",https://imgur.com/OG56ich,olea_europaea.jpg
32 Mesa Avenue,San Francisco,CA,94116,37.74807,-122.4649,sourwood,Oxydendrum arboreum,two trees at this address,,default_tree.png
,,,,37.752621,-122.44975,empress tree,Paulownia tomentosa,across the street from 163 Skyview Way,,default_tree.png
438 Arkansas Street,San Francisco,CA,94107,37.760631,-122.3986,avocado,Persea americana,,,default_tree.png
2051 Hyde Street,San Francisco,CA,94109,37.799232,-122.41959,Canary avocado tree,Persea indica,,,persea_indica.jpg
785 Page Street,San Francisco,CA,94117,37.77245,-122.43353,Senegal date palm,Phoenix reclinata,,,default_tree.png
,,,,37.772849,-122.4455,,Photinia davidsoniae,across the street in the panhandle,https://postimg.cc/HVwzrJTh,default_tree.png
605 Castro Street,San Francisco,CA,94114,37.759169,-122.43456,Chinese photinia,Photinia serratifolia,,,default_tree.png
85 Jordan Street,San Francisco,CA,94107,37.78431,-122.45712,Mexican weeping pine,Pinus patula,"left of house, in yard",,default_tree.png
2529 Fillmore Street,San Francisco,CA,94115,37.793178,-122.435,cluster pine,Pinus pinaster,,,default_tree.png
90 Woodland Avenue,San Francisco,CA,94117,37.762491,-122.45291,Italian stone pine,Pinus pinea,,,pinus_pinea.jpg
214 Santa Clara Avenue,San Francisco,CA,94127,37.73651,-122.46668,Italian stone pine,Pinus pinea,,,default_tree.png
379 Lisbon,San Francisco,CA,94112,37.722253,-122.43319,Monterey pine,Pinus radiata,"in side yard, in back of house",,default_tree.png
,,,,37.766618,-122.435828,torrey pine,Pinus torreyana,,,default_tree.png
880 Lombard Street,San Francisco,CA,94133,37.802687,-122.41602,Chinese pistache,Pistacia chinensis,NW corner of Castro and Henry in the Castro (several examples on hill),,default_tree.png
1297 Noe Street,San Francisco,CA,94114,37.7484367,-122.43159,Queensland pittosporum,Pittosporum rhombifolium,only example in San Francisco,,default_tree.png
1300 Deming Street,San Francisco,CA,94114,37.7604858,-122.44511,tobira,Pittosporum tobira,"Deming Street side of property, in yard",,default_tree.png
1403 Willard Street,San Francisco,CA,94117,37.763959,-122.4544,victorian box,Pittosporum undulatum,,,pittosporum_undulatum.jpg
,,,,37.7732,-122.443143,ribbonwood,Plagianthus regius,across from 1530 Fell,,default_tree.png
1499 Geary Boulevard,San Francisco,CA,94115,37.78494,-122.42749,California sycamore,Platanus racemosa,,,default_tree.png
337 Arkansas Street,San Francisco,CA,94107,37.761944,-122.3981,London plane,Platanus x acerifolia,,,default_tree.png
426 Urbano Drive ,San Francisco,CA,94127,37.7241577,-122.47021,London plane,Platanus x acerifolia,"two great examples of ""pollarded"" London plane trees - trees repetitively cut at the same place",,platanus_acerifolia.jpg
110 Steiner Street,San Francisco,CA,94117,37.770323,-122.43151,white poplar,Populus alba,,,populus_alba.jpg
,,,,37.761267,-122.399382,almond ,Prunus amygdalus,just north of corner of 19th and Wisconsin,,default_tree.png
770 3rd Avenue,San Francisco,CA,94118,37.7745361,-122.46037,English laurel,Prunus laurocerasus,,,default_tree.png
